is,2699,(verb)
are,1843,(verb)
be,1145,"(verb, auxiliary verb)"
have,891,"(verb, auxiliary verb)"
has,384,(verb)
use,319,"(verb, noun)"
make,262,"(verb, noun)"
get,233,(verb)
see,204,(verb)
need,193,(verb)
know,181,(verb)
would,176,(verb)
find,166,(verb)
take,164,(verb)
want,163,(verb)
look,144,"(verb, noun, interjection)"
help,141,"(verb, noun, interjection)"
go,131,"(verb, noun, adjective)"
being,124,"(verb, noun)"
think,116,"(verb, adjective, noun)"
does,104,(verb)
learn,102,(verb)
become,97,(verb)
read,97,"(verb, noun)"
keep,96,"(verb, noun)"
start,96,"(verb, noun)"
give,93,"(verb, noun)"
come,88,(verb)
include,80,(verb)
thank,78,(verb)
play,75,"(verb, noun)"
feel,74,"(verb, noun)"
put,70,"(verb, noun)"
set,69,"(verb, noun, adjective)"
provide,68,(verb)
change,67,"(verb, noun)"
say,66,"(verb, interjection, noun)"
create,63,(verb)
add,60,(verb)
understand,59,(verb)
consider,57,(verb)
cut,50,"(verb, noun)"
show,50,"(verb, noun)"
try,50,"(verb, noun)"
choose,49,(verb)
develop,49,(verb)
check,49,"(verb, noun, interjection)"
call,47,"(verb, noun)"
move,47,"(verb, noun)"
pay,47,"(verb, noun)"
remember,46,(verb)
let,46,"(verb, noun)"
increase,45,"(verb, noun)"
turn,44,"(verb, noun)"
ask,42,"(verb, noun)"
buy,42,"(verb, noun)"
guard,42,"(verb, noun)"
hold,42,"(verb, noun)"
offer,42,"(verb, noun)"
travel,41,"(verb, noun)"
determine,40,(verb)
cook,40,"(verb, noun)"
grow,37,(verb)
dance,37,"(verb, noun)"
excuse,37,"(verb, noun)"
allow,35,(verb)
live,35,"(verb, adjective, adverb)"
supply,34,(verb)
purchase,34,"(verb, noun)"
deal,33,"(verb, noun)"
mean,33,"(verb, adjective, noun)"
fall,32,"(verb, noun)"
bring,31,(verb)
improve,31,(verb)
produce,31,"(verb, noun)"
search,31,"(verb, noun)"
maintain,30,(verb)
spend,30,"(verb, noun)"
talk,30,"(verb, noun)"
upset,30,"(verb, adjective)"
begin,29,(verb)
tell,29,"(verb, noun)"
exist,28,(verb)
tend,28,(verb)
cost,28,"(verb, noun)"
drive,28,"(verb, noun)"
support,28,"(verb, noun)"
enjoy,27,(verb)
perform,27,(verb)
remove,27,"(verb, noun)"
return,27,"(verb, noun)"
run,27,"(verb, noun)"
appropriate,26,"(verb, adjective)"
reserve,26,"(verb, noun)"
decide,25,(verb)
identify,25,(verb)
leave,25,"(verb, noun)"
reach,25,"(verb, noun)"
rest,25,"(verb, noun)"
